GSM1323620|donor 2; clone 6|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323621|donor 4; clone 4|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323622|donor 5; clone 1|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323623|donor 2; clone 6|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323624|donor 2; clone 6|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323625|donor 2; clone 6|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323626|donor 2; clone 6|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323627|donor 2; clone 6|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323628|donor 4; clone 4|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323629|donor 4; clone 4|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323630|donor 5; clone 1|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1323631|donor 5; clone 1|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
