,illumina_probe_id
0,cg00000109
1,cg00000292
2,cg00002033
3,cg00002426
4,cg00002719
5,cg00003298
6,cg00003994
7,cg00004105
8,cg00005619
9,cg00006081
10,cg00006414
11,cg00006815
12,cg00007076
13,cg00007981
14,cg00008033
15,cg00008493
16,cg00008629
17,cg00008671
18,cg00008713
19,cg00008800
20,cg00008945
21,cg00009088
22,cg00009196
23,cg00009407
24,cg00010078
25,cg00010445
26,cg00010672
27,cg00011200
28,cg00011459
29,cg00011891
30,cg00012199
31,cg00012386
32,cg00013618
33,cg00014085
34,cg00014837
35,cg00015770
36,cg00016255
37,cg00016522
38,cg00016783
39,cg00016968
40,cg00017489
41,cg00017842
42,cg00017931
43,cg00018198
44,cg00018261
45,cg00019275
46,cg00020052
47,cg00020474
48,cg00021275
49,cg00021527
50,cg00022866
51,cg00024396
52,cg00024404
53,cg00024471
54,cg00024516
55,cg00024812
56,cg00025138
57,cg00025991
58,cg00026033
59,cg00027083
60,cg00027674
61,cg00028013
62,cg00028935
63,cg00029246
64,cg00029931
65,cg00030047
66,cg00030296
67,cg00030432
68,cg00031162
69,cg00031235
70,cg00031346
71,cg00031779
72,cg00032227
73,cg00032666
74,cg00033773
75,cg00033909
76,cg00034039
77,cg00034101
78,cg00034559
79,cg00035347
80,cg00035623
81,cg00036011
82,cg00037763
83,cg00037940
84,cg00040455
85,cg00040861
86,cg00040873
87,cg00041401
88,cg00041575
89,cg00041989
90,cg00042156
91,cg00043004
92,cg00043080
93,cg00044245
94,cg00044372
95,cg00044466
96,cg00044665
97,cg00044729
98,cg00045114
99,cg00045118
100,cg00045592
101,cg00046099
102,cg00047050
103,cg00047469
104,cg00048743
105,cg00048759
106,cg00049323
107,cg00049595
108,cg00049616
109,cg00050312
110,cg00050496
111,cg00050692
112,cg00051979
113,cg00052684
114,cg00053292
115,cg00053927
116,cg00054210
117,cg00054706
118,cg00054774
119,cg00055073
120,cg00056066
121,cg00056767
122,cg00057593
123,cg00058291
124,cg00058329
125,cg00058938
126,cg00059225
127,cg00059424
128,cg00059652
129,cg00059740
130,cg00059930
131,cg00060762
132,cg00061031
133,cg00061635
134,cg00062245
135,cg00062282
136,cg00062776
137,cg00063111
138,cg00063144
139,cg00063174
140,cg00063982
141,cg00065385
142,cg00065408
143,cg00065935
144,cg00066153
145,cg00066351
146,cg00066663
147,cg00066816
148,cg00067471
149,cg00067720
150,cg00068038
151,cg00069261
152,cg00070899
153,cg00071250
154,cg00071265
155,cg00071998
156,cg00072216
157,cg00072288
158,cg00072689
159,cg00073090
160,cg00073460
161,cg00075507
162,cg00075967
163,cg00076645
164,cg00077457
165,cg00077877
166,cg00078194
167,cg00078456
168,cg00078867
169,cg00079023
170,cg00079056
171,cg00079563
172,cg00080012
173,cg00080125
174,cg00081935
175,cg00081975
176,cg00082384
177,cg00082912
178,cg00082939
179,cg00083262
180,cg00083659
181,cg00083833
182,cg00083937
183,cg00084338
184,cg00084687
185,cg00085013
186,cg00085438
187,cg00085493
188,cg00088797
189,cg00089091
190,cg00089453
191,cg00090261
192,cg00091064
193,cg00091302
194,cg00091693
195,cg00092400
196,cg00093177
197,cg00093643
198,cg00094518
199,cg00094734
200,cg00094851
